tsne_2d_one,tsne_2d_two
-0.39285862,5.9736524
-0.39090046,5.9714837
-0.38909397,5.969472
-0.38739508,5.9675736
-0.38585114,5.965845
-0.38429472,5.9640937
-0.41435486,5.9945097
-0.4147854,5.9950137
-0.45471555,6.0404534
-0.45439708,6.040106
-0.45383352,6.0394745
-0.4529538,6.0386333
-0.4518188,6.037363
-0.4504352,6.0358515
-0.4489326,6.0342174
-0.44739667,6.0325403
-0.44591233,6.030942
-0.44455814,6.0294724
-0.44334307,6.0281744
-0.44219786,6.026938
-0.44104376,6.025691
-0.43971628,6.0242496
-0.43817338,6.0211544
-0.43887487,6.022034
-0.43952516,6.022856
-0.4401175,6.023615
-0.4405242,6.024166
-0.4408274,6.0246
-0.4409054,6.0247803
-0.4408716,6.024846
-0.4406926,6.0247374
-0.44053683,6.024661
-0.4384694,6.0224266
-0.44072297,6.0250344
-0.4413335,6.025805
-0.4422133,6.026857
-0.44351178,6.0283895
-0.4450002,6.0301275
-0.44653857,6.031914
-0.44798973,6.0335903
-0.44923294,6.0350246
-0.4501605,6.0360956
-0.4508329,6.036875
-0.44743267,6.0323887
-0.44711998,6.032069
-0.44564062,6.0304728
-0.44475037,6.029467
-0.44296327,6.0275517
-0.44109422,6.025521
-0.43931162,6.023591
-0.43771282,6.021862
-0.43689108,6.0210037
-0.434974,6.0190125
-0.43366793,6.017616
-0.43219712,6.0160456
-0.430393,6.0141068
-0.43004635,6.0137258
-0.4269714,6.01038
-0.4232833,6.0063663
-0.4189787,6.0014744
-0.4163881,5.998658
-0.41406804,5.9961925
-0.41186523,5.9938354
-0.4097543,5.991572
-0.40766922,5.9893327
-0.4055294,5.9870324
-0.40331155,5.9847164
-0.40110418,5.982337
-0.39887753,5.979939
-0.39657146,5.9774313
-0.39408967,5.9747934
-0.39147228,5.971873
-0.3887645,5.9689336
-0.38603935,5.965906
-0.4074006,5.9861717
-0.40573788,5.9843326
-0.40436226,5.982831
-0.40330517,5.9816923
-0.40257373,5.9809065
-0.40214324,5.9805183
-0.40191332,5.980326
-0.40181142,5.9803185
-0.40177324,5.980341
-0.40184942,5.980577
-0.40202636,5.980879
-0.402352,5.981356
-0.40288296,5.982009
-0.40368602,5.983014
-0.40467125,5.984255
-0.40594107,5.9857802
-0.40751746,5.9875646
-0.40934,5.98969
-0.41160238,5.9923162
-0.4143383,5.9953938
-0.3612171,5.938159
-0.36062288,5.9375052
-0.36018035,5.937065
-0.35975912,5.9365873
-0.35931474,5.9360995
-0.35883516,5.9355507
-0.358345,5.9350147
-0.3578732,5.93447
-0.3904148,5.9672666
-0.38851133,5.9651637
-0.38872182,5.965419
-0.38833135,5.965008
-0.38818994,5.9648952
-0.38825816,5.965015
-0.3884916,5.965328
-0.38891724,5.9658675
-0.3895815,5.9666967
-0.41107547,5.9926915
-0.40854976,5.989944
-0.40623283,5.9874315
-0.4053759,5.986543
-0.40209365,5.9830203
-0.40169185,5.9827037
-0.39826944,5.9789176
-0.39950722,5.9803815
-0.3960308,5.976603
-0.39237696,5.9726253
-0.39012036,5.9701457
-0.3600473,5.936619
-0.3586492,5.9351406
-0.35770065,5.9340763
-0.3569804,5.9332952
-0.35634413,5.9326053
-0.3556833,5.93187
-0.35495314,5.931063
-0.35418332,5.9301934
-0.35341594,5.9293284
-0.35243845,5.928184
-0.35178024,5.9274535
-0.350906,5.92644
-0.3819264,5.957606
-0.35508835,5.931044
-0.35427815,5.9301724
-0.35370904,5.9295616
-0.35327616,5.9290934
-0.35280907,5.928587
-0.3522408,5.927955
-0.35154852,5.9271812
-0.35075945,5.926284
-0.34989467,5.9253
-0.3489918,5.924262
-0.34803346,5.92316
-0.34698293,5.921941
-0.37923044,5.9544563
-0.37923667,5.9544883
-0.37932026,5.9546165
-0.37931153,5.954626
-0.37936673,5.9547176
-0.32533398,5.8958035
-0.32424733,5.8946724
-0.3235357,5.893958
-0.32318833,5.893649
-0.323161,5.8937173
-0.32345733,5.8941636
-0.32393676,5.8947506
-0.32470492,5.8957024
-0.3258765,5.8970904
-0.3277423,5.8992667
-0.3296082,5.9013762
-0.33218038,5.9043155
-0.33522886,5.9077644
-0.33892116,5.9119196
-0.36973262,5.9428616
-0.36932608,5.9424915
-0.3690492,5.942235
-0.36857572,5.9418206
-0.36814576,5.941429
-0.36751214,5.940787
-0.3670037,5.9404
-0.36649552,5.939897
-0.36608383,5.939566
-0.3657724,5.9393725
-0.36628148,5.9401603
-0.36548573,5.9393044
-0.36550084,5.9394493
-0.3656572,5.939756
-0.36679056,5.9411564
-0.36609954,5.9404974
-0.3663622,5.940909
-0.366617,5.9413013
-0.32635942,5.896214
-0.32406223,5.8937907
-0.32205647,5.8916774
-0.32050094,5.8900356
-0.3192631,5.8888035
-0.31829312,5.887833
-0.3176167,5.887187
-0.31713292,5.8867507
-0.31682166,5.8864975
-0.31651738,5.8862443
-0.3162386,5.8860135
-0.31603044,5.885848
-0.31774452,5.888514
-0.32017964,5.8912945
-0.32242116,5.8938594
-0.32435873,5.896055
-0.32580185,5.8976884
-0.32662603,5.8986073
-0.32680959,5.8987775
-0.3265353,5.8984327
-0.32591733,5.897685
-0.3250699,5.8966594
-0.3206124,5.891422
-0.3227563,5.8939
-0.32120842,5.892069
-0.31057635,5.8795857
-0.31225854,5.881538
-0.31366938,5.883179
-0.36699328,5.940008
-0.36687008,5.9398794
-0.36657068,5.9395437
-0.33173567,5.904249
-0.33163774,5.9041023
-0.33131853,5.903709
-0.33091217,5.9032297
-0.33053264,5.902774
-0.33008242,5.9022546
-0.32961878,5.9017186
-0.3290631,5.901076
-0.35690597,5.9278684
-0.35823923,5.9295263
-0.35932788,5.9308667
-0.36010724,5.9318027
-0.36049202,5.9324307
-0.36042824,5.932278
-0.359912,5.931817
-0.3588605,5.930638
-0.35744494,5.9290257
-0.34400824,5.912224
-0.34491166,5.9134216
-0.34559634,5.914333
-0.34634554,5.9153004
-0.34694457,5.9162006
-0.3473341,5.9168353
-0.34744713,5.917135
-0.34729525,5.91714
-0.346919,5.916854
-0.346403,5.916428
-0.34585407,5.915951
-0.34526613,5.915412
-0.34474507,5.9149466
-0.34427962,5.914535
-0.34392083,5.9142356
-0.3434807,5.9139743
-0.3429864,5.9135985
-0.34232026,5.91303
-0.34175414,5.912534
-0.3051865,5.872601
-0.30331886,5.870606
-0.3014675,5.8686137
-0.29964828,5.866662
-0.29792464,5.864837
-0.2962886,5.8630643
-0.29467705,5.8613467
-0.29303816,5.859576
-0.29132256,5.857691
-0.28993052,5.856173
-0.28699118,5.8528576
-0.28396842,5.8493996
-0.25693804,5.8186936
-0.25741807,5.8192496
-0.25801742,5.819921
-0.2586311,5.82057
-0.25910366,5.821176
-0.25931424,5.82127
-0.25923336,5.821116
-0.25894415,5.820588
-0.25858533,5.8200617
-0.25823954,5.819449
-0.25797406,5.8189416
-0.25788596,5.818619
-0.2578498,5.81834
-0.31423563,5.880526
-0.31265917,5.879099
-0.31107253,5.8776197
-0.3094838,5.8761067
-0.3078834,5.874562
-0.30632454,5.8729663
-0.3048477,5.871592
-0.30348814,5.8702188
-0.3022138,5.868961
-0.30092537,5.867672
-0.29949123,5.8661995
-0.29770088,5.8643947
-0.29551697,5.8620276
-0.29283568,5.859054
-0.28972188,5.855586
-0.28615186,5.8515644
-0.28210634,5.8469863
-0.2775264,5.841782
-0.25323954,5.8141756
-0.25397354,5.8149376
-0.25436285,5.8152785
-0.25390273,5.814638
-0.25403562,5.8146133
-0.2534931,5.8137574
-0.2529732,5.812973
-0.2520245,5.8117085
-0.25187796,5.8112435
-0.25129429,5.810342
-0.25066674,5.809281
-0.2494539,5.8076143
-0.24924406,5.8071012
-0.24864885,5.8061724
-0.24828148,5.8055215
-0.24806061,5.805088
-0.26924044,5.8313193
-0.26715472,5.8290696
-0.26585302,5.8277626
-0.2633049,5.8248863
-0.26146618,5.822958
-0.2612698,5.8228526
-0.2585199,5.8197727
-0.2558232,5.816765
-0.25336173,5.813996
-0.24734016,5.8069525
-0.24415778,5.8032823
-0.24157093,5.800329
-0.23967387,5.79816
-0.23526555,5.7929573
-0.23466843,5.7923026
-0.23307213,5.7903767
-0.23204562,5.789102
-0.23152265,5.788393
-0.24448594,5.803875
-0.24447799,5.803919
-0.24462567,5.8041077
-0.24478552,5.804342
-0.24481933,5.8043575
-0.24475145,5.8042297
-0.2445261,5.803901
-0.2441751,5.803395
-0.24377139,5.8028073
-0.24334304,5.802153
-0.24295935,5.801528
-0.24249117,5.8007627
-0.24184242,5.799731
-0.24097218,5.7984266
-0.23964696,5.7964497
-0.23779362,5.7938733
-0.23561728,5.790923
-0.23318323,5.7876854
-0.23061927,5.784314
-0.2278533,5.7807226
-0.18768081,5.7305007
-0.18793312,5.730769
-0.26675832,5.8177214
-0.26685074,5.817851
-0.26582867,5.8166223
-0.26480815,5.8154354
-0.26277938,5.81296
-0.2630139,5.8133183
-0.26231614,5.812557
-0.26182666,5.812073
-0.26156238,5.8118744
-0.26153874,5.8119774
-0.26176542,5.8123856
-0.26223776,5.813099
-0.2630371,5.8142457
-0.26421705,5.815797
-0.26544163,5.8174486
-0.26764876,5.8202963
-0.23786967,5.795706
-0.23802546,5.7960067
-0.23815657,5.79625
-0.23827614,5.7964635
-0.23823331,5.7964416
-0.23802982,5.79623
-0.23759587,5.7956777
-0.23707509,5.7950683
-0.23643646,5.7943234
-0.23575285,5.7934504
-0.23506613,5.7925496
-0.23442785,5.791572
-0.23387875,5.7907968
-0.23334448,5.7899675
-0.16879532,5.708626
-0.16879182,5.708425
-0.16905758,5.70857
-0.16953483,5.709005
-0.17026782,5.7097645
-0.1710622,5.7105937
-0.1718606,5.711464
-0.17260894,5.712351
-0.17315157,5.712994
-0.17349613,5.7133884
-0.173474,5.713333
-0.24104708,5.7858315
-0.23986946,5.7844124
-0.161598,5.699984
-0.1623813,5.7007213
-0.16318113,5.701495
-0.16401695,5.7023087
-0.16493763,5.70326
-0.16595975,5.7043443
-0.16685031,5.705374
-0.16761397,5.7061677
-0.16814451,5.7067823
-0.16838516,5.707038
-0.16821226,5.706791
-0.16754714,5.7059364
-0.23432189,5.777573
-0.23333853,5.776388
-0.23258533,5.775531
-0.232163,5.7750645
-0.23211634,5.7750764
-0.23248532,5.775607
-0.2330825,5.7764096
-0.23445219,5.7782054
-0.2455873,5.7916574
-0.24523091,5.791275
-0.24488908,5.7909036
-0.24457285,5.7906737
-0.24429831,5.790402
-0.24347837,5.7895327
-0.24396108,5.7903576
-0.2439416,5.7904105
-0.24413031,5.7908835
-0.24445345,5.7914457
-0.24496295,5.7920723
-0.24567422,5.793153
-0.2461697,5.7940545
-0.19602561,5.743746
-0.1924211,5.739851
-0.18948705,5.7366934
-0.18700255,5.734022
-0.18511574,5.732028
-0.1837125,5.7305975
-0.18288787,5.7298393
-0.18260688,5.72971
-0.18276243,5.7300787
-0.18318719,5.730745
-0.18379283,5.731605
-0.18442163,5.732459
-0.18487476,5.7330775
-0.18500605,5.7332835
-0.18475752,5.7330055
-0.18396755,5.732054
-0.18267323,5.7304735
-0.18092313,5.728329
-0.17901404,5.725971
-0.17684637,5.723287
-0.15122232,5.684438
-0.23257089,5.7754326
-0.23290427,5.775864
-0.2329211,5.7759233
-0.23279235,5.775816
-0.23254053,5.775591
-0.23215778,5.7751913
-0.23053817,5.773297
-0.23169993,5.774829
-0.23067604,5.7736926
-0.2321736,5.7756343
-0.2328287,5.7765737
-0.23279226,5.776652
-0.23442975,5.778798
-0.23556541,5.780303
-0.23572281,5.7805924
-0.23604462,5.781176
-0.23618071,5.7815356
-0.23595306,5.7814693
-0.23415461,5.779593
-0.12328483,5.6548066
-0.122886464,5.654079
-0.12322798,5.654206
-0.12416303,5.655014
-0.12552416,5.6563168
-0.12705567,5.6578317
-0.12872979,5.659524
-0.1305927,5.661493
-0.1326815,5.6637053
-0.13489157,5.6661625
-0.13708183,5.668654
-0.13908543,5.6709857
-0.1408348,5.6730103
-0.14219932,5.674631
-0.14321606,5.6758657
-0.1438949,5.6766634
-0.1444096,5.6772866
-0.14476667,5.6777267
-0.21260796,5.751011
-0.11739537,5.64819
-0.117114194,5.6475663
-0.117269576,5.647476
-0.117867395,5.647941
-0.118882075,5.6487627
-0.12064203,5.650497
-0.12160308,5.651362
-0.123219356,5.6529775
-0.12510934,5.654914
-0.1272564,5.6572256
-0.12960897,5.6598396
-0.13290282,5.663657
-0.13439715,5.6653185
-0.13651186,5.6678
-0.13829762,5.669926
-0.13973005,5.671649
-0.14082041,5.6729436
-0.14166364,5.673969
-0.14229251,5.6747284
-0.14283043,5.675394
-0.13171999,5.660359
-0.13261046,5.661068
-0.13341287,5.661779
-0.13420585,5.662592
-0.13503343,5.6635633
-0.13594688,5.664744
-0.13692446,5.666111
-0.20535165,5.7419524
-0.20536473,5.742047
-0.20533068,5.7420263
-0.20538667,5.7422185
-0.20522076,5.742127
-0.20600484,5.743191
-0.20679943,5.744284
-0.20797399,5.7458634
-0.209586,5.747975
-0.21148033,5.7504334
-0.21408403,5.7537565
-0.106921084,5.635149
-0.10840447,5.6365814
-0.109891534,5.6380935
-0.112134226,5.6401973
-0.113720976,5.6417766
-0.115253456,5.6432676
-0.11675336,5.6447234
-0.11860476,5.646586
-0.120693766,5.64877
-0.1230186,5.6513553
-0.12557764,5.6542726
-0.12818803,5.6573734
-0.13065219,5.6603684
-0.13285431,5.6630177
-0.13463797,5.665225
-0.13601573,5.666942
-0.13713072,5.6683464
-0.13803409,5.6694684
-0.19926713,5.7346435
-0.0507404,5.5732217
-0.05088281,5.573435
-0.053468525,5.576527
-0.053002343,5.575947
-0.05488692,5.578181
-0.05731045,5.5809736
-0.060274847,5.5843678
-0.06631906,5.591453
-0.06744337,5.5924735
-0.07127036,5.59685
-0.07498633,5.6009774
-0.0808636,5.607653
-0.08077375,5.6072454
-0.083829544,5.610568
-0.08317947,5.6094346
-0.08355165,5.6095576
-0.08379202,5.609531
-0.08417128,5.6096582
-0.10739187,5.633734
-0.10907591,5.6351185
-0.11075323,5.636402
-0.11237887,5.637667
-0.113953836,5.6390085
-0.11556427,5.6405396
-0.11783916,5.643427
-0.11935637,5.6447983
-0.1225967,5.6492476
-0.12397809,5.650628
-0.12763774,5.655769
-0.12873241,5.657004
-0.1328073,5.6627183
-0.18138476,5.7124004
-0.18044104,5.7113304
-0.1817632,5.7131305
-0.18284859,5.7146144
-0.18377009,5.7159095
-0.184662,5.717174
-0.0889462,5.614277
-0.0917656,5.6173005
-0.09417197,5.6198173
-0.09636221,5.622025
-0.09847939,5.6241016
-0.10057179,5.626122
-0.10253957,5.6279874
-0.103686646,5.629004
-0.10626323,5.631636
-0.108463205,5.633973
-0.11102347,5.636866
-0.113931224,5.640232
-0.010123304,5.524165
-0.013793446,5.5287905
-0.01726727,5.5331144
-0.02056666,5.5371847
-0.02369357,5.541
-0.02678078,5.5447116
-0.029627532,5.5481215
-0.032272596,5.551248
-0.034706734,5.5540767
-0.037020534,5.5567
-0.039604887,5.5596595
-0.06657136,5.5887437
-0.07028751,5.5928655
-0.07579716,5.5989833
-0.07931171,5.6028
-0.082274675,5.6059213
-0.08484832,5.6085434
-0.08717975,5.6108494
-0.089329526,5.612957
-0.091387115,5.614981
-0.09350023,5.617172
-0.09583786,5.619664
-0.09847824,5.6225758
-0.10147585,5.626051
-0.10488669,5.630085
-0.10870808,5.6345463
-0.11280293,5.63939
-0.11689999,5.644282
0.00025643897,5.5124397
-0.0047802385,5.518429
-0.01101871,5.5258584
-0.014086412,5.5294533
-0.01830273,5.5343914
-0.022270013,5.538972
-0.025377378,5.542485
-0.028221034,5.545651
-0.031002399,5.548687
-0.033923917,5.551849
-0.037134632,5.555318
-0.040522605,5.5589657
-0.043866117,5.5625644
-0.047007058,5.56594
-0.04992307,5.5691133
-0.0526888,5.5720267
-0.055327393,5.574898
-0.057945658,5.5777464
-0.060728014,5.5807886
-0.0637982,5.5841894
0.09878089,5.375402
0.100267395,5.3742814
0.1023963,5.3726234
0.10317138,5.3726625
0.10350347,5.373299
0.101586014,5.377036
0.10259726,5.3766837
0.10199268,5.3787394
0.101404235,5.380625
0.100909755,5.382419
0.10064715,5.383896
-0.017191106,5.5320134
-0.024984693,5.5409703
-0.032078546,5.549098
-0.038331583,5.556206
-0.04366831,5.562191
-0.045234576,5.563778
-0.05204762,5.571415
-0.055544302,5.575219
-0.05872431,5.578602
-0.061599933,5.5816083
-0.06420398,5.5843387
-0.0667279,5.5870214
-0.069354616,5.5898857
-0.07223171,5.593074
-0.07066129,5.591333
-0.0769539,5.598437
-0.0135116,5.480415
-0.01340058,5.480033
-0.01653005,5.4846253
0.09336245,5.3717256
0.09461014,5.3707223
0.0949351,5.3710465
0.09427703,5.372798
0.09262624,5.375979
0.09011896,5.380419
0.087016135,5.385803
0.08362574,5.391638
0.0803093,5.397354
0.07766803,5.4022083
0.07600097,5.4058
0.07536464,5.4080877
0.07580392,5.409046
0.11275732,5.354739
0.11327245,5.354912
0.11229595,5.3567066
0.112976074,5.3571863
0.11221658,5.3592534
0.11112377,5.3618116
0.1099252,5.364615
0.108715616,5.3674994
0.107661895,5.3702126
0.10688449,5.3725533
0.10664094,5.3742666
0.1068197,5.375422
0.10731922,5.3761535
0.10796583,5.376685
0.10862926,5.3771596
0.1079742,5.379254
0.10890524,5.378801
0.10818417,5.380456
0.10696747,5.382585
0.10551692,5.384832
0.10279797,5.388993
0.09739235,5.395833
0.092597045,5.4019027
0.08817994,5.407308
0.08404714,5.412389
0.079940766,5.417317
0.07590088,5.422129
0.07172393,5.427041
0.069218315,5.4297423
0.06358157,5.436383
0.058421936,5.4424233
0.053834867,5.447663
0.048825406,5.453436
0.04290237,5.4601784
0.03601191,5.4681225
0.028686784,5.47655
0.021487013,5.4848037
0.08046564,5.4168
0.0761282,5.421912
0.07168418,5.427108
0.067148626,5.4323897
0.062457055,5.43783
0.058456615,5.4423614
0.052465826,5.449281
0.048986267,5.4531846
0.043247145,5.4598627
0.03689042,5.467206
0.030773586,5.4742765
0.02102104,5.485145
0.014836097,5.492212
0.008751668,5.4991193
0.002718532,5.505944
0.09627705,5.3976765
0.091856994,5.402988
0.08758355,5.4081435
0.08338017,5.413019
0.079136975,5.417977
0.07473882,5.423066
0.07009491,5.428422
0.06527336,5.433986
0.060397495,5.4396076
0.055389617,5.4454
0.049781434,5.451844
0.04343663,5.459186
0.033545442,5.4704823
0.027232848,5.4777055
0.021136884,5.4846096
0.014168657,5.492325
0.009124638,5.4978647
0.0041461415,5.5031548
-0.00012959889,5.507495
-0.0036414135,5.5108
0.11866169,5.3696218
0.11335311,5.376251
0.10950834,5.38107
0.103834815,5.3881497
0.099394865,5.3935437
0.09512441,5.398637
0.09083155,5.403683
0.086251274,5.409015
0.0813087,5.4147453
0.076222576,5.42066
0.07125567,5.426408
0.06615904,5.432341
0.06034691,5.439123
0.15469888,5.319198
0.15309224,5.3222694
0.15108645,5.325719
0.14846075,5.32974
0.14618646,5.333398
0.14350612,5.3373456
0.14075233,5.341263
0.13788724,5.345224
0.13470827,5.349472
0.13124783,5.353953
0.12744695,5.3587537
0.1231163,5.364066
0.15626872,5.3185663
0.1542023,5.3220716
0.15194437,5.325591
0.14952242,5.32927
0.14693275,5.3330755
0.14424288,5.3368883
0.14154115,5.3405976
0.13858615,5.3445435
0.13361716,5.3508806
0.13080803,5.3544416
0.12765631,5.358288
0.123111725,5.3637495
0.11789927,5.3700185
0.108617544,5.381246
0.104879186,5.3856792
0.10080066,5.390483
0.09514533,5.3972483
0.08891813,5.404707
0.08062508,5.4146385
3.0414636,1.0312057
3.0403633,1.0330187
3.0397189,1.0340343
3.039516,1.0343196
3.0398922,1.0336738
3.0407555,1.0322347
3.0421653,1.0298766
2.78899,1.2409455
2.7897258,1.2396415
2.7901201,1.2389561
2.7898946,1.2393484
0.19011626,5.2626343
0.18800096,5.266532
0.18173958,5.277049
0.17848639,5.2826495
0.17336905,5.291299
0.16948813,5.297845
0.16577482,5.304002
0.16227771,5.3096676
0.15893441,5.314924
0.15573303,5.319798
0.15258509,5.3244367
0.14931442,5.329103
0.14582038,5.3339524
0.15523498,5.3230047
0.1541039,5.324498
0.15293846,5.325976
0.15130511,5.3279653
0.15016007,5.3291855
0.14831798,5.33121
0.14589173,5.33392
0.14273159,5.3374786
0.13878979,5.3419814
0.13419321,5.3474126
0.12908483,5.3534455
0.12067094,5.363898
0.11867328,5.36591
0.113684155,5.3718653
0.10501129,5.3828707
3.0497797,1.0170996
3.049407,1.0177885
3.0494244,1.0177615
3.0498638,1.0169635
3.0507271,1.0154366
2.8291624,1.1719221
2.8295262,1.1713511
